dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹
Dr. Vinuta S,Dentist,BDS,17 years experience overall,"Thanisandra,",Bangalore,100% ,,₹350
Dr. Shameel Ahmed Shariff,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",10 years experience overall,"HSR Layout,",Bangalore,100% ,1 Patient Story,₹200
Dr. Hemalatha,Dentist,BDS,12 years experience overall,"Whitefield,",Bangalore,,,₹300
Dr. Sravani Rudra Raju,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",12 years experience overall,"Electronics City,",Bangalore,100% ,,₹300
Dr. Amol Sangewar,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",10 years experience overall,"Bilekahalli,",Bangalore,100% ,1 Patient Story,₹300
Dr. Aditi Kumari,Dentist,BDS,1 year experience,"Koramangala,",Bangalore,100% ,1 Patient Story,₹400
Dr. Shruthi Chandrashekhar Katti,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",9 years experience overall,"Bannerghatta Road,",Bangalore,,,₹300
Dr. Shreevidya B,Dentist,"BDS, MDS",16 years experience overall,"BTM Layout 2nd Stage,",Bangalore,100% ,1 Patient Story,₹300
Dr. Shaheda Manjothi,Dentist,BDS,4 years experience overall,"Electronics City,",Bangalore,100% ,2 Patient Stories,₹300
Dr. Vinuta S,Dentist,BDS,17 years experience overall,"Thanisandra,",Bangalore,100% ,,₹350
Dr. Shaistha Khanum,Dentist,BDS,9 years experience overall,"Sanjay Nagar,",Bangalore,100% ,2 Patient Stories,₹300
Dr. Prashanth Bhat,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",10 years experience overall,"Seshadripuram,",Bangalore,,,₹740
Dr. Rohan S,Dentist,"MDS - Periodontics, BDS",13 years experience overall,"KR Puram,",Bangalore,100% ,,₹400
Dr. Swetha Kiran,Dentist,BDS,9 years experience overall,"Hebbal,",Bangalore,100% ,1 Patient Story,₹250
Dr. Snehi Chopra,Dentist,BDS,10 years experience overall,"Basavanagudi,",Bangalore,,,₹500
Dr. Amrutha Kamal,Dentist,BDS,5 years experience overall,"Kasturi nagar,",Bangalore,100% ,1 Patient Story,₹300
Dr. Monika,Dentist,BDS,9 years experience overall,"Harlur,",Bangalore,100% ,,₹200
Dr. Aniketh . T.N,Dentist,MDS - Conservative Dentistry & Endodontics,7 years experience overall,"JP Nagar,",Bangalore,100% ,,₹200
Dr. Sravani Rudra Raju,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",12 years experience overall,"Electronics City,",Bangalore,100% ,,₹300
Dr. Tulasi Nayak,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",6 years experience overall,"Hanumanthnagar,",Bangalore,,,₹200
Dr. Mahesh Nunna,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",9 years experience overall,"Sarjapur Road,",Bangalore,67% ,3 Patient Stories,₹100
Dr. Supriya,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",4 years experience overall,"BTM Layout 1st Stage,",Bangalore,100% ,1 Patient Story,₹300
Dr. Hemalatha,Dentist,BDS,12 years experience overall,"Whitefield,",Bangalore,,,₹300
Dr. Laimayum Bageshwor Sharma,Dentist,"BDS, Fellowship in Oral implantlogy, Diploma in Medical Cosmetology and Aesthetic Medicine",10 years experience overall,"Arekere,",Bangalore,,,₹1000
Dr. Ronald Tejpaul,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",6 years experience overall,"Singasandra,",Bangalore,,,₹200
Dr. H Sushila Debi,Dentist,BDS,6 years experience overall,"Sarjapur Road,",Bangalore,,,₹550
Dr. Aditya T N,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",20 years experience overall,"Sampangiramnagar,",Bangalore,,,₹800
Dr. JR Prithvi Raj,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",8 years experience overall,"Kundalahalli,",Bangalore,,,₹200
Dr. Sanjana Vijaykumar,Dentist,BDS,6 years experience overall,"BTM Layout 2nd Stage,",Bangalore,,,₹200
Dr. Shruthi Chandrashekhar Katti,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",9 years experience overall,"Bannerghatta Road,",Bangalore,,,₹300
Dr. Revathi Natesan,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",18 years experience overall,"Kumaraswamy Layout,",Bangalore,,,₹450
Dr. Karishma Jagadeesh,Dentist,"BDS, MDS - Prosthodontics",5 years experience overall,"Yeshwanthpur,",Bangalore,,,₹600
Dr. Feroz,Dentist,BDS,11 years experience overall,"HSR Layout,",Bangalore,50% ,1 Patient Story,₹500
Dr. Pooja H,Dentist,"BDS, Master of Hospital Administration",5 years experience overall,"Sahakaranagar,",Bangalore,,,₹350
Dr. Rakshitha Narayana,Dentist,"BDS, MDS - Periodontics",16 years experience overall,"Seshadripuram,",Bangalore,,,₹400
Dr. Pallapoiu Vasavi,Dentist,BDS,4 years experience overall,"Sarjapur Road,",Bangalore,,,₹500
Dr. Shantanu Prakash,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",7 years experience overall,"Vasanthnagar,",Bangalore,,,₹600
Dr. Ronald Tejpaul,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",6 years experience overall,"Singasandra,",Bangalore,,,₹200
Dr. Manasi T,Dentist,BDS,2 years experience overall,"Bellandur,",Bangalore,,,₹400
Dr. JR Prithvi Raj,Dentist,"MDS - Prosthodontist And Crown Bridge, BDS",8 years experience overall,"Kundalahalli,",Bangalore,,,₹200
Dr. Sruthi Krishnan,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",7 years experience overall,"Sarjapur Road,",Bangalore,,,₹500
Dr. Chandramohan Raju D,Dentist,BDS,16 years experience overall,"Malleswaram,",Bangalore,100% ,1 Patient Story,₹650
Dr. Judith Christina,Dentist,BDS,3 years experience overall,"HRBR Layout,",Bangalore,,,₹500
Dr. Sharanya Shaker,Dentist,BDS,7 years experience overall,"JP Nagar,",Bangalore,,,₹500
Dr. Shruthy R,Dentist,BDS,3 years experience overall,Bangalore,Bangalore,,,₹500
Dr. Sweta S,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",7 years experience overall,"Vasanthnagar,",Bangalore,,,₹600
Dr. Ankita Srivastava,Dentist,"BDS, MDS - Conservative Dentistry & Endodontics",8 years experience overall,"Whitefield,",Bangalore,,,₹600
Dr. Bipin Chandra Reddy,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery, Fellowship in Oral implantlogy, Fellowship in Aesthetic Medicine (FAM)",22 years experience overall,"New Thippasandra,",Bangalore,95% ,88 Patient Stories,₹300
Dr. Riddhi Rathi,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",15 years experience overall,"Jayanagar,",Bangalore,99% ,796 Patient Stories,₹300
Dr. Jomin Jose,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",12 years experience overall,"Varthur,",Bangalore,100% ,9 Patient Stories,₹100
Dr. Saranya K,Dentist,"BDS, MDS - Paedodontics And Preventive Dentistry",10 years experience overall,"HSR Layout,",Bangalore,100% ,40 Patient Stories,₹400
Dr. Vinay P,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",13 years experience overall,"Sanjay Nagar,",Bangalore,100% ,1 Patient Story,₹400
Dr. Kaushik Pai S H,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",12 years experience overall,"HSR Layout,",Bangalore,100% ,9 Patient Stories,₹500
Dr. Sheron Mathews,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS",9 years experience overall,"Sanjay Nagar,",Bangalore,100% ,22 Patient Stories,₹500
Dr. Anoop Nair,Dentist,"BDS, MDS - Prosthodontist And Crown Bridge",21 years experience overall,"Ulsoor,",Bangalore,100% ,6 Patient Stories,₹500
Dr. Sebin Koyan,Dentist,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",10 years experience overall,"Kundalahalli,",Bangalore,97% ,23 Patient Stories,₹200
Dr. Sunil T,Dentist,MDS - Orthodontics and Dentofacial Orthopaedics,10 years experience overall,"RT Nagar,",Bangalore,96% ,8 Patient Stories,₹300
Dr. Dheemanth Ramanath,Dentist,"BDS, MDS - Orthodontics",15 years experience overall,"Kudlu,",Bangalore,93% ,51 Patient Stories,₹200
Dr. C M Adarsh,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",20 years experience overall,"Domlur,",Bangalore,94% ,10 Patient Stories,₹500
Dr. Vinod Rangan,Dentist,"MDS - Oral & Maxillofacial Surgery, BDS, Fellowship and Diplomate in Implantology from ICOI (USA)",19 years experience overall,"Banaswadi,",Bangalore,98% ,37 Patient Stories,₹300
Dr. Sunil T,Dentist,MDS - Orthodontics and Dentofacial Orthopaedics,10 years experience overall,"RT Nagar,",Bangalore,96% ,8 Patient Stories,₹300
Dr. Lokesh Babu,Dentist,"BDS, MDS - Oral & Maxillofacial Surgery",23 years experience overall,"HSR Layout,",Bangalore,99% ,56 Patient Stories,₹400
Dr. Deepak,Dentist,"BDS, MDS - Oral Medicine and Radiology",14 years experience overall,"Kundalahalli,",Bangalore,99% ,216 Patient Stories,₹200
Dr. Nirjhar,Dentist,"BDS, MDS - Periodontics",15 years experience overall,"Marathahalli,",Bangalore,95% ,60 Patient Stories,₹200
Dr. Shahul Hameed,Dentist,"BDS, MDS - Prosthodontics, Certificate of Oral Implantology",12 years experience overall,"Seegehalli,",Bangalore,94% ,52 Patient Stories,₹500
Dr. Sayali Jadhav,Dentist,BDS,8 years experience overall,"Jayanagar,",Bangalore,100% ,351 Patient Stories,₹300
Dr. Ramneet Kaur,Dentist,MDS - Paedodontics And Preventive Dentistry,7 years experience overall,"Kundalahalli,",Bangalore,96% ,44 Patient Stories,₹500
Dr. Shafalika.S.B,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",19 years experience overall,"Yeshwanthpur,",Bangalore,100% ,398 Patient Stories,₹750
Dr. Chitra Ramamurthy,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS",42 years experience overall,"Bannerghatta Road,",Bangalore,94% ,53 Patient Stories,₹850
Dr. Basavaraj  Devarashetty,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",25 years experience overall,"Marathahalli,",Bangalore,98% ,409 Patient Stories,₹700
Dr. Vidyamani Boriah,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",52 years experience overall,"VV Puram,",Bangalore,91% ,9 Patient Stories,₹600
Dr. Deepthi RK Shashidhar,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",15 years experience overall,"Jayanagar 4 Block,",Bangalore,98% ,346 Patient Stories,₹600
Dr. M. Gowri,Gynecologist,"MBBS, DGO",32 years experience overall,"HSR Layout,",Bangalore,91% ,269 Patient Stories,₹600
Dr. Deepak V Rao,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS",31 years experience overall,"Indiranagar,",Bangalore,98% ,22 Patient Stories,₹700
Dr. Shobha Venkat,Gynecologist,"DNB - Obstetrics & Gynecology, DGO, MBBS",30 years experience overall,"Old Airport Road,",Bangalore,95% ,416 Patient Stories,₹900
Dr. Mala Prakash,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",37 years experience overall,"Bannerghatta Road,",Bangalore,94% ,123 Patient Stories,₹850
Dr. Vijayalakshmi M,Gynecologist,"MBBS, DGO",43 years experience overall,"Indiranagar,",Bangalore,95% ,59 Patient Stories,₹800
Dr. Shafalika.S.B,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",19 years experience overall,"Yeshwanthpur,",Bangalore,100% ,398 Patient Stories,₹750
Dr. Chitra Ramamurthy,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS",42 years experience overall,"Bannerghatta Road,",Bangalore,94% ,53 Patient Stories,₹850
Dr. Basavaraj  Devarashetty,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",25 years experience overall,"Marathahalli,",Bangalore,98% ,409 Patient Stories,₹700
Dr. Vidyamani Boriah,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, Fellow of Royal College of Obstetricians and Gynaecologists FRCOG (London)",52 years experience overall,"VV Puram,",Bangalore,91% ,9 Patient Stories,₹600
Dr. Deepthi RK Shashidhar,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",15 years experience overall,"Jayanagar 4 Block,",Bangalore,98% ,346 Patient Stories,₹600
Dr. M. Gowri,Gynecologist,"MBBS, DGO",32 years experience overall,"HSR Layout,",Bangalore,91% ,269 Patient Stories,₹600
Dr. Deepak V Rao,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS",31 years experience overall,"Indiranagar,",Bangalore,98% ,22 Patient Stories,₹700
Dr. Shobha Venkat,Gynecologist,"DNB - Obstetrics & Gynecology, DGO, MBBS",30 years experience overall,"Old Airport Road,",Bangalore,95% ,416 Patient Stories,₹900
Dr. Mala Prakash,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",37 years experience overall,"Bannerghatta Road,",Bangalore,94% ,123 Patient Stories,₹850
Dr. Vijayalakshmi M,Gynecologist,"MBBS, DGO",43 years experience overall,"Indiranagar,",Bangalore,95% ,59 Patient Stories,₹800
Dr. V S Gangarani,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",33 years experience overall,"Indiranagar,",Bangalore,69% ,7 Patient Stories,₹650
Dr. Kavitha Lakshmi Easwaran,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",25 years experience overall,"Kasturi nagar,",Bangalore,95% ,219 Patient Stories,₹700
Dr. Shobha N. Gudi,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, Fellow of Indian College of Obstetrics and Gynecology (FICOG)",30 years experience overall,"Jayanagar 9 Block,",Bangalore,91% ,13 Patient Stories,₹650
Dr. Mamatha Reddy Y V,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",25 years experience overall,"Koramangala 1 Block,",Bangalore,95% ,149 Patient Stories,₹800
Dr. Namita Kapoor Sahgal,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",29 years experience overall,"Whitefield,",Bangalore,90% ,188 Patient Stories,₹800
Dr. Vimala CH,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",16 years experience overall,"Whitefield,",Bangalore,98% ,185 Patient Stories,₹800
Dr. Archana Agarwal,Gynecologist,"MBBS, DGO",29 years experience overall,"Marathahalli,",Bangalore,85% ,201 Patient Stories,₹700
Dr. H S Chandrika,Gynecologist,"MBBS, DGO",40 years experience overall,"JP Nagar 2 Phase,",Bangalore,97% ,64 Patient Stories,₹800
Dr. Mukta Nadig,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",41 years experience overall,"Malleswaram,",Bangalore,94% ,208 Patient Stories,₹850
Dr. Vanita Vaishnav,Gynecologist,"MS - Obstetrics & Gynaecology, MBBS",13 years experience overall,"HSR Layout,",Bangalore,98% ,58 Patient Stories,₹600
Dr. Roopa R,Gynecologist,"MBBS, DGO",26 years experience overall,"Jayanagar 9 Block,",Bangalore,96% ,27 Patient Stories,₹500
Dr. Jayashree Murthy,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",24 years experience overall,"Indiranagar,",Bangalore,99% ,30 Patient Stories,₹600
Dr. Suman Singh,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Aesthetic Medicine (FAM)",28 years experience overall,"BTM Layout 2nd Stage,",Bangalore,93% ,722 Patient Stories,₹700
Dr. T. M Jyothi Lakshmi,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",34 years experience overall,"Malleswaram,",Bangalore,95% ,86 Patient Stories,₹850
Dr. Smitha A.P.,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",19 years experience overall,"Old Airport Road,",Bangalore,99% ,57 Patient Stories,₹850
Dr. Asha Puranikmath,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",31 years experience overall,"Indiranagar,",Bangalore,92% ,86 Patient Stories,₹800
Dr. Kishore C Kumtakar,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",43 years experience overall,"Jayanagar 9 Block,",Bangalore,100% ,2 Patient Stories,₹500
Dr. Ambuja Govindaraj,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, DGO",16 years experience overall,"Yeshwanthpur,",Bangalore,100% ,2 Patient Stories,₹750
Dr. Vidya Muralidhar,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology, DNB - Obstetrics & Gynecology",13 years experience overall,"Hebbal Kempapura,",Bangalore,98% ,144 Patient Stories,₹400
Dr. N Sapna Lulla,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",23 years experience overall,"Hebbal,",Bangalore,98% ,935 Patient Stories,₹700
Dr. Geeta Komar,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",21 years experience overall,"Whitefield,",Bangalore,75% ,10 Patient Stories,₹800
Dr. Aparna Shintre,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DGO",25 years experience overall,"Malleswaram,",Bangalore,98% ,52 Patient Stories,₹850
Dr. Thejavathy G. V,Gynecologist,"MBBS, DGO, MD - Obstetrics & Gynaecology",32 years experience overall,"Indiranagar,",Bangalore,69% ,14 Patient Stories,₹700
Dr. Rekha Prashanth,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",28 years experience overall,"BTM Layout 1st Stage,",Bangalore,90% ,59 Patient Stories,₹600
Dr. Chetana V,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",22 years experience overall,"Hebbal,",Bangalore,94% ,21 Patient Stories,₹700
Dr. Mangala Ramachandra,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DGO",38 years experience overall,"Bannerghatta Road,",Bangalore,85% ,51 Patient Stories,₹800
Dr. Revathy Parthasarathy,Gynecologist,"MBBS, DGO",38 years experience overall,"Jayanagar 5 Block,",Bangalore,73% ,14 Patient Stories,₹500
Dr. Chaya Patil,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",26 years experience overall,"Bannerghatta Road,",Bangalore,97% ,62 Patient Stories,₹800
Dr. K. Sushmita,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",20 years experience overall,"Sahakaranagar,",Bangalore,98% ,426 Patient Stories,₹850
Dr. Anu Sridhar,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",31 years experience overall,"Bannerghatta Road,",Bangalore,86% ,23 Patient Stories,₹800
Dr. Savitha Shetty,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, MRCOG(UK)",30 years experience overall,"Seshadripuram,",Bangalore,94% ,31 Patient Stories,₹740
Dr. Shilpa Apte,Gynecologist,"MBBS, DGO",22 years experience overall,"Jayanagar 5 Block,",Bangalore,84% ,12 Patient Stories,₹700
Dr. Hemavathi Srinivasan,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",22 years experience overall,"Indiranagar,",Bangalore,86% ,11 Patient Stories,₹700
Dr. Joshitha Naik,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology, DGO",21 years experience overall,"Jayanagar 5 Block,",Bangalore,85% ,13 Patient Stories,₹700
Dr. Vijaya Manohar,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",41 years experience overall,"Koramangala 6 Block,",Bangalore,96% ,100 Patient Stories,₹600
Dr. Gayathri  D Kamath,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DGO, MRCOG(UK)",29 years experience overall,"Bannerghatta Road,",Bangalore,97% ,85 Patient Stories,₹800
Dr. Daksha Bakre,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",13 years experience overall,"Bellandur,",Bangalore,97% ,290 Patient Stories,₹850
Dr. Radhika kamuni,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",15 years experience overall,"Old Airport Road,",Bangalore,98% ,162 Patient Stories,₹850
Dr. Ashwini B Gowdra,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",20 years experience overall,"HSR Layout,",Bangalore,96% ,598 Patient Stories,₹800
Dr. Modhulika Bhattacharya,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",22 years experience overall,"Old Airport Road,",Bangalore,98% ,162 Patient Stories,₹850
Dr. Aruna Sahadev,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, Post Doctoral Fellowship in Reproductive Medicine",20 years experience overall,"Rajarajeshwarinagar,",Bangalore,93% ,86 Patient Stories,₹600
Dr. Usha B.R.,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",17 years experience overall,"JP Nagar,",Bangalore,93% ,103 Patient Stories,₹600
Dr. Meenakshi R Kamath,Gynecologist,"MBBS, DGO",32 years experience overall,"Jayanagar,",Bangalore,95% ,116 Patient Stories,₹600
Dr. Prakash Kini,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DGO",45 years experience overall,"Jayanagar,",Bangalore,96% ,147 Patient Stories,₹1050
Dr. Siri V,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",16 years experience overall,"Nagarbhavi,",Bangalore,96% ,27 Patient Stories,₹400
Dr. Sandya Rani,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",18 years experience overall,"Whitefield,",Bangalore,99% ,153 Patient Stories,₹700
Dr. S.Indukala,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DGO",22 years experience overall,"Jayanagar 9 Block,",Bangalore,83% ,,₹500
Dr. Vijaya Sherbet,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",31 years experience overall,"Hebbal,",Bangalore,94% ,28 Patient Stories,₹800
Dr. Gayathri B N,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",17 years experience overall,"Electronics City,",Bangalore,97% ,127 Patient Stories,₹700
Dr. Sita Rajan,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",38 years experience overall,"Whitefield,",Bangalore,81% ,29 Patient Stories,₹900
Dr. Ashwini P,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",20 years experience overall,"CV Raman Nagar,",Bangalore,91% ,121 Patient Stories,₹600
Dr. Nirmala Mohan,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",23 years experience overall,"Hebbal,",Bangalore,89% ,6 Patient Stories,₹1090
Dr. Bhargavi Reddy,Gynecologist,"MD - Obstetrics & Gynaecology, MBBS",29 years experience overall,"Indiranagar,",Bangalore,84% ,139 Patient Stories,₹600
Dr. Bhawana Mishra,Gynecologist,"DNB - Obstetrics & Gynecology, DGO, MBBS",26 years experience overall,"JP Nagar,",Bangalore,97% ,86 Patient Stories,₹750
Dr. Bharathi Rajanna,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",34 years experience overall,"Rajajinagar,",Bangalore,90% ,48 Patient Stories,₹500
Dr. Poornima Murthy,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",26 years experience overall,"Jayanagar,",Bangalore,95% ,62 Patient Stories,₹850
Dr. Anupama Ashok,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, Fellowship in Reproductive Medicine",26 years experience overall,"Sahakaranagar,",Bangalore,98% ,124 Patient Stories,₹850
Dr. Shanthala Thuppanna,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",22 years experience overall,"Sarjapur Road,",Bangalore,84% ,48 Patient Stories,₹700
Dr. Sunitha T,Gynecologist,"MS - Obstetrics & Gynaecology, MBBS",15 years experience overall,"Vidyaranyapura,",Bangalore,100% ,80 Patient Stories,₹300
Dr. Regina,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",24 years experience overall,"Banaswadi,",Bangalore,95% ,291 Patient Stories,₹600
Dr. Harsha V Reddy,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",19 years experience overall,"Bellandur,",Bangalore,94% ,206 Patient Stories,₹850
Dr. Rashmi Swaroop,Gynecologist,"MBBS, DGO, Fellowship in Reproductive Medicine",22 years experience overall,"VV Puram,",Bangalore,99% ,101 Patient Stories,₹600
Dr. Kumudini Devi,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",10 years experience overall,"Arekere,",Bangalore,99% ,116 Patient Stories,₹500
Dr. Chaithra S K,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",13 years experience overall,"Kalyan Nagar,",Bangalore,94% ,77 Patient Stories,₹550
Dr. Hira Mardi,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",19 years experience overall,Bangalore,Bangalore,98% ,89 Patient Stories,₹600
Dr. Padmalatha,Gynecologist,"MBBS, DNB - Obstetrics & Gynecology",23 years experience overall,"Yeshwanthpur,",Bangalore,100% ,130 Patient Stories,₹600
Dr. Aparna Jha,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",17 years experience overall,"Kundalahalli,",Bangalore,93% ,127 Patient Stories,₹650
Dr. Radhika kamuni,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",15 years experience overall,"Old Airport Road,",Bangalore,98% ,162 Patient Stories,₹850
Dr. Mamatha Reddy Y V,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",25 years experience overall,"Koramangala 1 Block,",Bangalore,95% ,149 Patient Stories,₹800
Dr. Aarthi Bharat,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",23 years experience overall,"Banashankari,",Bangalore,97% ,101 Patient Stories,₹600
Dr. Divyashree PS,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology, FNB - Reproductive Medicine",16 years experience overall,"JP Nagar,",Bangalore,98% ,207 Patient Stories,₹500
Dr. Mohini S Jadwani,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",41 years experience overall,"Richmond Town,",Bangalore,94% ,9 Patient Stories,₹550
Dr. Payal Mahapatra,Gynecologist,"MBBS, DGO",16 years experience overall,"Marathahalli,",Bangalore,90% ,97 Patient Stories,₹650
Dr. Preeti Prabhakar Shetty,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",18 years experience overall,"Bannerghatta Road,",Bangalore,27% ,11 Patient Stories,₹850
Dr. Poornima. M,Gynecologist,"MBBS, MS - Obstetrics & Gynaecology",17 years experience overall,"Old Airport Road,",Bangalore,97% ,26 Patient Stories,₹850
Dr. Aparnaa Panda,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology",24 years experience overall,"Bannerghatta Road,",Bangalore,92% ,803 Patient Stories,₹850
Dr. Chitra Sreenivasa Murthy,Gynecologist,"MBBS, DGO, MRCOG(UK)",21 years experience overall,"Electronics City,",Bangalore,93% ,66 Patient Stories,₹850
Dr. Sushma,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",12 years experience overall,"Basaveshwaranagar,",Bangalore,98% ,44 Patient Stories,₹500
Dr. Padmasri V,Gynecologist,"MBBS, MD - Obstetrics & Gynaecology, DNB - Obstetrics & Gynecology",27 years experience overall,"VV Puram,",Bangalore,89% ,19 Patient Stories,₹600
Dr. Aruna Kumari V,Gynecologist,"MBBS, DGO",15 years experience overall,"Bellandur,",Bangalore,88% ,47 Patient Stories,₹850
Dr. Yasmin Imdad,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",20 years experience overall,"Whitefield,",Bangalore,100% ,51 Patient Stories,₹600
Dr. Pooja Yuresh Gandhi,Gynecologist,"MBBS, DGO, DNB - Obstetrics & Gynecology",10 years experience overall,"Banashankari,",Bangalore,100% ,20 Patient Stories,₹500
Dr. Shashikala Ksheerasagar,Gynecologist,"MBBS, DGO, MRCOG(UK), Fellowship in Reproductive Medicine",21 years experience overall,"Millers Road,",Bangalore,100% ,14 Patient Stories,₹1000
