dr_name,speciality,qualification,years_of_experience,location,city,dp_score%,npv,consultation_fee_₹,additional_qualification
Dr. Harish Puranik,Orthopedist,MBBS,15.0,Malleswaram,Bangalore,100.0,21.0,700.0,MS
Dr. Karthik Gajapathy,Orthopedist,MBBS,30.0,Koramangala 5 Block,Bangalore,83.0,4.0,750.0,Diploma in Orthopaedics
Dr. Raghu B V,Orthopedist,MBBS,14.0,Padmanabhanagar,Bangalore,100.0,4.0,500.0,MS
Dr. Ahmed Rayan Jelani,Orthopedist,MBBS,13.0,Richmond Town,Bangalore,75.0,3.0,600.0,MS
Dr. Sudhir N. Pai,Orthopedist,MBBS,24.0,Sampangiramnagar,Bangalore,100.0,29.0,800.0,MS
Dr. Chidanand K. J. C,Orthopedist,MBBS,20.0,Banashankari 3rd Stage,Bangalore,93.0,1.0,500.0,MS
Dr. Ravindra Puttaswamaiah,Orthopedist,MBBS,23.0,Yeshwanthpur,Bangalore,72.0,12.0,700.0,MS
Dr. Varun GBS,Orthopedist,MBBS,14.0,RT Nagar,Bangalore,90.0,16.0,600.0,MS
Dr. Srinivas Nagendra,Orthopedist,MBBS,18.0,Malleswaram,Bangalore,100.0,6.0,500.0,MS
Dr. C. P. Belliappa,Orthopedist,MBBS,19.0,Sarjapur Road,Bangalore,100.0,7.0,850.0,DNB
Dr. Ravikumar Mukartihal,Orthopedist,Diploma in Orthopaedics,14.0,Vasanthnagar,Bangalore,97.0,49.0,900.0,DNB
Dr. J V Srinivas,Orthopedist,MBBS,25.0,JP Nagar,Bangalore,100.0,13.0,950.0,MS
Dr. Deepak A,Orthopedist,MBBS,5.0,Sarjapur Road,Bangalore,100.0,1.0,600.0,Diploma in Orthopaedics
Dr. Manoj A N,Orthopedist,MBBS,21.0,Indiranagar,Bangalore,100.0,2.0,800.0,MS
Dr. Narendra Rangappa,Orthopedist,MBBS,22.0,Malleswaram,Bangalore,25.0,2.0,650.0,MS
Dr. Prabhakaran D,Orthopedist,MBBS,18.0,Malleswaram,Bangalore,100.0,2.0,650.0,Diploma in Orthopaedics
Dr. Vinit M Oswal,Orthopedist,MBBS,7.0,Malleswaram,Bangalore,100.0,3.0,700.0,MS
Dr. Anjan A,Orthopedist,MBBS,14.0,Banaswadi,Bangalore,100.0,2.0,500.0,DNB
Dr. Mallesh M,Orthopedist,MS,11.0,Sarjapur Road,Bangalore,100.0,1.0,650.0,MBBS
Dr. Krishanu Dey,Orthopedist,MBBS,13.0,Whitefield,Bangalore,0.0,0.0,850.0,MS
Dr. Chethan Nagaraj,Orthopedist,MBBS,10.0,Singasandra,Bangalore,100.0,1.0,600.0,DNB
Dr. Ajey Deekshith A S,Orthopedist,MBBS,4.0,Nagasandra,Bangalore,0.0,0.0,500.0,MS
Dr. Vinoth Arokkia Sekar,Orthopedist,MBBS,14.0,Sarjapur Road,Bangalore,0.0,0.0,650.0,MS
Dr. Paneendra  S,Orthopedist,MBBS,10.0,BTM Layout 2nd Stage,Bangalore,0.0,0.0,600.0,MS
Dr. Karan Shetty,Orthopedist,MBBS,8.0,Basaveshwaranagar,Bangalore,0.0,0.0,400.0,MS
Dr. Mahesh Reddy,Orthopedist,MBBS,27.0,Koramangala 5 Block,Bangalore,79.0,7.0,600.0,MS
Dr. Jayakrishnan Pillai,Orthopedist,MBBS,20.0,Bangalore,Bangalore,97.0,459.0,700.0,DNB
Dr. Pradeep Kiran B.S,Orthopedist,MBBS,26.0,Bangalore,Bangalore,96.0,151.0,300.0,DNB
Dr. Deepak S,Orthopedist,MBBS,30.0,Koramangala 5 Block,Bangalore,90.0,7.0,600.0,MS
Dr. Goutam Kodikal,Orthopedist,MBBS,43.0,Koramangala 5 Block,Bangalore,93.0,17.0,800.0,MS
Dr. Narayan Hulse,Orthopedist,MS,22.0,Bannerghatta Road,Bangalore,97.0,97.0,750.0,DNB
Dr. Mahadev Jatti,Orthopedist,MBBS,26.0,Koramangala 5 Block,Bangalore,70.0,8.0,600.0,MS
Dr. Jithendra Kumar G P,Orthopedist,MBBS,34.0,Bannerghatta Road,Bangalore,90.0,4.0,850.0,MS
Dr. Kiran Chowka,Orthopedist,MS,16.0,Hebbal,Bangalore,95.0,143.0,1090.0,MBBS
Dr. Sreedhar Singh,Orthopedist,Others,32.0,Hebbal,Bangalore,92.0,274.0,800.0,FRCS
Dr. Anand Halyal,Orthopedist,MBBS,17.0,Bangalore,Bangalore,97.0,553.0,699.0,"Diploma in Orthopaedics, DNB"
Dr. Venugopal B,Orthopedist,MBBS,18.0,Bannerghatta Road,Bangalore,93.0,13.0,850.0,"Diploma in Orthopaedics, DNB"
Dr. Lingaraju A.P,Orthopedist,MBBS,21.0,Bangalore,Bangalore,99.0,60.0,400.0,MS
Dr. Chandramouli B,Orthopedist,MBBS,29.0,Electronics City,Bangalore,93.0,301.0,550.0,MS
Dr. Hemant K. Kalyan,Orthopedist,MBBS,32.0,Old Airport Road,Bangalore,89.0,49.0,900.0,MS
Dr. Kishan Rao K,Orthopedist,MBBS,9.0,Hulimavu,Bangalore,86.0,3.0,700.0,DNB
Dr. Suresh Kumar M S,Orthopedist,MBBS,26.0,Koramangala 5 Block,Bangalore,87.0,70.0,600.0,Diploma in Orthopaedics
Dr. Pramod Kumar Mohan,Orthopedist,MBBS,5.0,Malleswaram,Bangalore,0.0,0.0,650.0,MS
Dr. Naveen Kumar.L.V,Orthopedist,MS,23.0,HSR Layout,Bangalore,99.0,648.0,900.0,FRCS
Dr. Abhijit Chavan,Orthopedist,DNB,18.0,Whitefield,Bangalore,91.0,16.0,850.0,MBBS
Dr. Prashanth Patil,Orthopedist,MBBS,26.0,Koramangala 5 Block,Bangalore,87.0,8.0,600.0,Others
Dr. Manish Samson,Orthopedist,MBBS,30.0,Jayanagar,Bangalore,97.0,23.0,750.0,MS
Dr. Nithin Vadlamudi,Orthopedist,MS,12.0,Bellandur,Bangalore,100.0,206.0,650.0,Others
Dr. Raj D. Chakravarty,Orthopedist,MS,46.0,Whitefield,Bangalore,83.0,8.0,850.0,MBBS
Dr. D J Navinchand,Orthopedist,MBBS,39.0,Hebbal,Bangalore,71.0,4.0,800.0,MS
Dr. Jagadeesh,Orthopedist,Diploma in Orthopaedics,24.0,Bannerghatta Road,Bangalore,89.0,41.0,850.0,MBBS
Dr. Raghavendra Reddy,Orthopedist,MBBS,11.0,Whitefield,Bangalore,100.0,0.0,850.0,MS
Dr. Chethan Nagaraj,Orthopedist,MBBS,17.0,Bangalore,Bangalore,95.0,33.0,500.0,MS
Dr. Vidyashankar,Orthopedist,MBBS,32.0,Jayanagar 9 Block,Bangalore,0.0,0.0,650.0,MS
Dr. J. Lakshmikanth,Orthopedist,MBBS,32.0,Sarjapur Road,Bangalore,97.0,25.0,850.0,MS
Dr. Ajith Prabhu,Orthopedist,MBBS,19.0,Jayanagar,Bangalore,95.0,11.0,750.0,MS
Dr. Sharan Shivraj Patil,Orthopedist,MBBS,32.0,Vasanthnagar,Bangalore,87.0,106.0,800.0,Others
Dr. Jayanth Sundar Sampath,Orthopedist,MBBS,28.0,Whitefield,Bangalore,96.0,44.0,900.0,FRCS
Dr. Amith Shetty,Orthopedist,MBBS,12.0,Hulimavu,Bangalore,100.0,1.0,500.0,MS
Dr. C.B. Prabhu,Orthopedist,MBBS,34.0,Seshadripuram,Bangalore,95.0,310.0,740.0,DNB
Dr. Chandrashekar,Orthopedist,MS,19.0,HSR Layout,Bangalore,89.0,263.0,1000.0,MBBS
Dr. Krishna Naresh Goud,Orthopedist,MBBS,12.0,Bangalore,Bangalore,93.0,13.0,300.0,"Diploma in Orthopaedics, DNB"
Dr. Chirag Thonse,Orthopedist,MBBS,17.0,Wheelers Road (Cooke Town),Bangalore,92.0,116.0,600.0,MS
Dr. Prasanna T Y,Orthopedist,MBBS,10.0,Basaveshwaranagar,Bangalore,98.0,29.0,400.0,MS
Dr. Shivakumar Y S,Orthopedist,MBBS,26.0,Whitefield,Bangalore,100.0,1.0,850.0,MS
Dr. Arun Kumar M S,Orthopedist,MBBS,24.0,Bangalore,Bangalore,100.0,33.0,450.0,MS
Dr. Bharath K. Kadadi,Orthopedist,MBBS,29.0,Malleswaram,Bangalore,88.0,16.0,650.0,MS
Dr. Prashanth BN,Orthopedist,MBBS,21.0,Hosur Road,Bangalore,88.0,62.0,500.0,MS
Dr. P Srinivas,Orthopedist,MBBS,18.0,Bangalore,Bangalore,0.0,0.0,200.0,DNB
Dr. B Jayashankar,Orthopedist,MBBS,31.0,Bangalore,Bangalore,67.0,0.0,500.0,DNB
Dr. Akshay Mylarappa,Orthopedist,MS,7.0,Bangalore,Bangalore,100.0,3.0,250.0,MBBS
Dr. Darshan Kumar A Jain,Orthopedist,MBBS,16.0,Ashoknagar,Bangalore,94.0,28.0,800.0,MS
Dr. Anand T Galagali,Orthopedist,MBBS,30.0,Malleswaram,Bangalore,81.0,8.0,650.0,MS
Dr. Vishwanath M S,Orthopedist,MBBS,35.0,Old Airport Road,Bangalore,67.0,2.0,900.0,MS
Dr. Purushotham Lal R,Orthopedist,Diploma in Orthopaedics,16.0,Hosur Road,Bangalore,93.0,43.0,600.0,DNB
Dr. Ranjit SDI,Orthopedist,MBBS,18.0,Malleswaram,Bangalore,92.0,11.0,650.0,DNB
Dr. Gururaj S Puranik,Orthopedist,Others,28.0,Nagasandra,Bangalore,100.0,17.0,400.0,DNB
Dr. J Praneeth Kumar Reddy,Orthopedist,MS,9.0,Bangalore,Bangalore,0.0,0.0,500.0,MBBS
Dr. Vikas Ellur,Orthopedist,MBBS,14.0,Vasanthnagar,Bangalore,88.0,23.0,800.0,MS
Dr. Monesh K B,Orthopedist,MBBS,8.0,Kengeri,Bangalore,100.0,2.0,400.0,MS
Dr. Shankar B S,Orthopedist,MBBS,29.0,Malleswaram,Bangalore,99.0,34.0,650.0,Others
Dr. Gowrishankar Swamy L G,Orthopedist,MBBS,31.0,Sampangiramnagar,Bangalore,98.0,127.0,800.0,DNB
Dr. Mithun N Oswal,Orthopedist,MBBS,11.0,HSR Layout,Bangalore,100.0,39.0,600.0,MS
Dr. Mohit Nahata,Orthopedist,MBBS,5.0,HSR Layout,Bangalore,0.0,0.0,600.0,DNB
Dr. Anand Chavan,Orthopedist,MBBS,19.0,Cunningham Road,Bangalore,98.0,260.0,700.0,Diploma in Orthopaedics
Dr. Balamurali Krishnan,Orthopedist,MBBS,31.0,Sarjapur Road,Bangalore,78.0,27.0,850.0,Others
Dr. Santhosh C Reddy,Orthopedist,MBBS,4.0,Koramangala 1 Block,Bangalore,0.0,0.0,500.0,DNB
Dr. Ajeya Deshpande,Orthopedist,MBBS,10.0,Bangalore,Bangalore,100.0,1.0,300.0,DNB
Dr. Mallinath G.,Orthopedist,MBBS,17.0,Old Airport Road,Bangalore,76.0,28.0,900.0,MS
Dr. Brahmaraju TJ,Orthopedist,MS,26.0,Rajarajeshwarinagar,Bangalore,88.0,6.0,800.0,DNB
Dr. Rakshit J,Orthopedist,MBBS,1.0,Singasandra,Bangalore,0.0,0.0,650.0,MS
Dr. Venkatesh Prasad,Orthopedist,MS,22.0,Basavanagudi,Bangalore,100.0,9.0,200.0,DNB
Dr. Sathya Vamsi Krishna,Orthopedist,MS,12.0,Bannerghatta Road,Bangalore,67.0,2.0,850.0,MBBS
Dr. Vinayaraj Kelagadi,Orthopedist,MBBS,15.0,HBR Layout,Bangalore,96.0,34.0,500.0,MS
Dr. Kazim Mahmood,Orthopedist,MBBS,10.0,Bangalore,Bangalore,0.0,0.0,500.0,MS
Dr. Gangu Hiral S,Orthopedist,MBBS,21.0,Sarjapur Road,Bangalore,100.0,4.0,500.0,MS
Dr. Shashank Joshi,Orthopedist,Diploma in Orthopaedics,2.0,Bangalore,Bangalore,0.0,0.0,350.0,MBBS
Dr. Malathesh H G,Orthopedist,MBBS,25.0,Nagasandra,Bangalore,0.0,0.0,400.0,Diploma in Orthopaedics
Dr. Srikanth. K. N.,Orthopedist,MBBS,26.0,Basavanagudi,Bangalore,0.0,0.0,1000.0,Others
Dr. Prateek Patil,Orthopedist,MBBS,7.0,Jayanagar,Bangalore,0.0,0.0,700.0,MS
Dr. Raju L Hadimani,Orthopedist,MBBS,18.0,Basavanagudi,Bangalore,83.0,2.0,550.0,MS
Dr. Somashekar S,Orthopedist,MBBS,28.0,Basavanagudi,Bangalore,50.0,5.0,650.0,MS
Dr. Srivatsa Subramanya,Orthopedist,MBBS,15.0,Kumaraswamy Layout,Bangalore,100.0,2.0,650.0,MS
Dr. Harshith N,Orthopedist,MBBS,7.0,Bangalore,Bangalore,0.0,0.0,600.0,MS
Dr. Vinu Raj,Orthopedist,MBBS,21.0,Nagasandra,Bangalore,100.0,1.0,400.0,Others
Dr. Manohar C V,Orthopedist,MBBS,21.0,Sarjapur Road,Bangalore,67.0,1.0,850.0,"Diploma in Orthopaedics, DNB"
Dr. Rajesh S,Orthopedist,MBBS,9.0,Indiranagar,Bangalore,100.0,8.0,800.0,MS
Dr. Ashish Philip Zachariah,Orthopedist,MBBS,13.0,JP Nagar,Bangalore,100.0,4.0,650.0,MS
Dr. Abhinandan,Orthopedist,MBBS,11.0,Rajarajeshwarinagar,Bangalore,100.0,1.0,500.0,MS
Dr. Manjunath B V,Orthopedist,MBBS,11.0,Malleswaram,Bangalore,0.0,0.0,650.0,DNB
Dr. Swagatesh Bastia,Orthopedist,MBBS,10.0,Sadashivanagar,Bangalore,100.0,1.0,500.0,MS
Dr. Nagaraja H S,Orthopedist,MBBS,14.0,Sarjapur Road,Bangalore,0.0,0.0,500.0,MS
Dr. Venkatesh Rathod,Orthopedist,MBBS,14.0,Kumaraswamy Layout,Bangalore,100.0,2.0,650.0,Diploma in Orthopaedics
Dr. Ambareesh P,Orthopedist,MBBS,12.0,HRBR Layout,Bangalore,0.0,0.0,600.0,MS
Dr. Harsha G N,Orthopedist,MBBS,13.0,JP Nagar,Bangalore,50.0,2.0,650.0,"Diploma in Orthopaedics, DNB"
Dr. Rohan Nambiar,Orthopedist,MBBS,12.0,Ashoknagar,Bangalore,0.0,0.0,800.0,"Diploma in Orthopaedics, DNB"
Dr. Praveen Podali,Orthopedist,MBBS,5.0,HSR Layout,Bangalore,0.0,0.0,600.0,MS
Dr. Veeresh Patage,Orthopedist,MBBS,10.0,Ashoknagar,Bangalore,0.0,0.0,800.0,MS
Dr. Raghu Nagaraj,Orthopedist,MBBS,19.0,Cunningham Road,Bangalore,95.0,29.0,700.0,MS
Dr. Deepak Devakar,Dermatologist,MBBS,18.0,JP Nagar,Bangalore,98.0,574.0,600.0,DDVL
Dr. Asmita Dhekne Chebbi,Dermatologist,MBBS,13.0,Koramangala 5 Block,Bangalore,98.0,251.0,600.0,MD
Dr. Neelima Sharma,Dermatologist,MBBS,23.0,Jayanagar 9 Block,Bangalore,95.0,26.0,650.0,DNB
Dr. Rajdeep,Dermatologist,MBBS,13.0,JP Nagar 2 Phase,Bangalore,96.0,164.0,750.0,DDVL
Dr. Jaya Sharma,Dermatologist,MBBS,20.0,Kalyan Nagar,Bangalore,88.0,32.0,630.0,Others
Dr. A Aruna Prasad,Dermatologist,MBBS,26.0,Yeshwanthpur,Bangalore,90.0,166.0,850.0,DVD
Dr. Parthasarathi Dutta Roy,Dermatologist,MBBS,19.0,MG Road,Bangalore,89.0,1309.0,700.0,Others
Dr. Juvita Rasquinha,Dermatologist,MBBS,17.0,Indiranagar,Bangalore,91.0,437.0,500.0,DDVL
Dr. Jyothi Menon,Dermatologist,MBBS,21.0,Koramangala 7 Block,Bangalore,96.0,31.0,600.0,DDVL
Dr. Hari Kishan Kumar,Dermatologist,MD,16.0,Kengeri,Bangalore,83.0,16.0,700.0,"Venereology & Leprosy, MBBS"
Dr. Priyadarshini M,Dermatologist,MD,11.0,Hebbal,Bangalore,98.0,32.0,1090.0,MBBS
Dr. Sankeerth Vijayakumar,Dermatologist,MBBS,12.0,HSR Layout,Bangalore,96.0,149.0,600.0,MD
Dr. Janet Alexander Castelino,Dermatologist,MBBS,29.0,HSR Layout,Bangalore,92.0,3223.0,1000.0,MD
Dr. Sheelavathi Natraj,Dermatologist,MBBS,18.0,JP Nagar,Bangalore,94.0,558.0,700.0,DDVL
Dr. Kisalay Saurav,Dermatologist,MBBS,19.0,Kalyan Nagar,Bangalore,94.0,110.0,700.0,MD
Dr. Shashidhar T,Dermatologist,MBBS,15.0,Jayanagar 4 Block,Bangalore,98.0,694.0,700.0,MD
Dr. Shivashankar B. Sajjanshetty,Dermatologist,MBBS,18.0,JP Nagar 2 Phase,Bangalore,97.0,330.0,750.0,DDVL
Dr. Harish Prasad B.R,Dermatologist,MD,15.0,BTM Layout,Bangalore,96.0,332.0,700.0,"Venereology & Leprosy, MBBS"
Dr. Kavya Nayak,Dermatologist,MBBS,14.0,Sarjapur Road,Bangalore,96.0,516.0,700.0,MD
Dr. Sandeep Mahapatra,Dermatologist,MBBS,17.0,Marathahalli,Bangalore,91.0,873.0,800.0,MD
Dr. Shankar D Desai,Dermatologist,MBBS,37.0,Yeshwanthpur,Bangalore,65.0,10.0,850.0,MD
Dr. Sridhar Gogineni,Dermatologist,MBBS,16.0,Marathahalli,Bangalore,98.0,312.0,600.0,MD
Dr. Renu Nair,Dermatologist,MBBS,14.0,HSR Layout,Bangalore,97.0,127.0,600.0,MD
Dr. Varsha.R,Dermatologist,MBBS,11.0,HSR Layout,Bangalore,95.0,208.0,1000.0,MD
Dr. Madan Kumar B J,Dermatologist,MBBS,11.0,Old Airport Road,Bangalore,92.0,57.0,750.0,DDVL
Dr. Safia Tanyeem,Dermatologist,MBBS,12.0,Koramangala 5 Block,Bangalore,92.0,42.0,700.0,MD
Dr. Sujaya S.N.,Dermatologist,MBBS,18.0,HRBR Layout,Bangalore,98.0,116.0,600.0,DDVL
Dr. Govind S Mittal,Dermatologist,MBBS,12.0,Jayanagar,Bangalore,98.0,334.0,800.0,MD
Dr. Smitha Warrier,Dermatologist,MBBS,19.0,Bannerghatta Road,Bangalore,76.0,25.0,850.0,MD
Dr. Charulatha K S,Dermatologist,DNB,5.0,Bannerghatta Road,Bangalore,100.0,4.0,400.0,Others
Dr. K C Dharam Kumar,Dermatologist,MBBS,8.0,JP Nagar,Bangalore,99.0,143.0,750.0,MD
Dr. Shiny T.N,Dermatologist,MD,13.0,Jayanagar,Bangalore,92.0,89.0,750.0,"Venereology & Leprosy, MBBS"
Dr. Abhilasha M D,Dermatologist,MBBS,8.0,JP Nagar,Bangalore,97.0,117.0,750.0,MD
Dr. Shishira R J,Dermatologist,MBBS,10.0,HSR Layout,Bangalore,94.0,224.0,1000.0,MD
Dr. Dilshad Shetty,Dermatologist,MBBS,17.0,HRBR Layout,Bangalore,97.0,52.0,600.0,DDVL
Dr. Swetha Gutha,Dermatologist,MBBS,11.0,Harlur,Bangalore,97.0,97.0,500.0,MD
Dr. Aishwarya Radhakrishna,Dermatologist,MBBS,14.0,Jayanagar 5 Block,Bangalore,91.0,46.0,600.0,DDVL
Dr. Sneha Sood,Dermatologist,MBBS,10.0,Indiranagar,Bangalore,97.0,77.0,500.0,DDVL
Dr. Poovamma A S,Dermatologist,MBBS,8.0,HSR Layout,Bangalore,95.0,15.0,600.0,MD
Dr. Kiran Joshy,Dermatologist,MBBS,14.0,RT Nagar,Bangalore,96.0,136.0,600.0,DDVL
Dr. Sudheendra Udbalker,Dermatologist,MBBS,21.0,Bannerghatta Road,Bangalore,97.0,68.0,850.0,DNB
Dr. Swetha Gowda,Dermatologist,MBBS,11.0,Indiranagar,Bangalore,92.0,60.0,600.0,MD
Dr. Namrata Singh,Dermatologist,MBBS,9.0,HSR Layout,Bangalore,100.0,15.0,600.0,MD
Dr. Sanjana Shivashankar,Dermatologist,MBBS,13.0,Indiranagar,Bangalore,95.0,63.0,650.0,MD
Dr. Haritha Ravipati,Dermatologist,MBBS,10.0,Ulsoor,Bangalore,98.0,52.0,600.0,MD
Dr. Aradhana Sood,Dermatologist,MBBS,22.0,Hebbal,Bangalore,0.0,0.0,1090.0,MD
Dr. Rethvi Tej,Dermatologist,MD,12.0,Sadashivanagar,Bangalore,98.0,35.0,600.0,Others
Dr. Chandrashekara Aithal,Dermatologist,MBBS,32.0,BTM Layout 2nd Stage,Bangalore,86.0,79.0,500.0,DVD
Dr. Shraddha Kololgi,Dermatologist,MBBS,6.0,Jayanagar 4 Block,Bangalore,100.0,27.0,600.0,MD
Dr. Hema S,Dermatologist,MBBS,12.0,Sadashivanagar,Bangalore,97.0,27.0,600.0,MD
Dr. Suvina attavar,Dermatologist,DDVL,9.0,Whitefield,Bangalore,98.0,192.0,600.0,MBBS
Dr. Radhika S R,Dermatologist,MBBS,7.0,Mahalakshmi Layout,Bangalore,100.0,17.0,600.0,MD
Dr. Sravya C Tipirneni,Dermatologist,MBBS,7.0,Whitefield,Bangalore,100.0,5.0,900.0,MD
Dr. Vanita Mathew,Dermatologist,MBBS,15.0,Bannerghatta Road,Bangalore,67.0,0.0,850.0,DDVL
Dr. Yogeesh H R,Dermatologist,MBBS,29.0,Koramangala 4 Block,Bangalore,94.0,166.0,800.0,MD
Dr. Pavithra H N,Dermatologist,MBBS,13.0,Jayanagar 7 Block,Bangalore,98.0,58.0,600.0,DDVL
Dr. Jaidev N.C,Dermatologist,MBBS,13.0,Millers Road,Bangalore,90.0,7.0,1000.0,MD
Dr. J Prasad,Dermatologist,MBBS,12.0,Indiranagar,Bangalore,97.0,79.0,600.0,DVD
Dr. Abhijna Rai,Dermatologist,MD,9.0,Whitefield,Bangalore,95.0,18.0,600.0,"Venereology & Leprosy, MBBS"
Dr. Rakesh Reddy,Dermatologist,MBBS,23.0,Sanjay Nagar,Bangalore,94.0,40.0,500.0,Others
Dr. Praveen Rodrigues,Dermatologist,MBBS,26.0,Richmond Town,Bangalore,90.0,6.0,1000.0,MD
Dr. Kavya K,Dermatologist,MBBS,9.0,Horamavu,Bangalore,99.0,74.0,400.0,MD
Dr. Yasmin Abdul Rahman,Dermatologist,MBBS,14.0,Whitefield,Bangalore,99.0,375.0,600.0,DDVL
Dr. Shruthi C,Dermatologist,MBBS,13.0,Jayanagar 4 Block,Bangalore,100.0,5.0,600.0,MD
Dr. V Sreelalitha,Dermatologist,MBBS,10.0,Whitefield,Bangalore,83.0,27.0,600.0,DVD
Dr. Neha Gupta,Dermatologist,MBBS,21.0,Indiranagar,Bangalore,95.0,21.0,800.0,MD
Dr. Vijendran Pragasam,Dermatologist,MBBS,18.0,Seshadripuram,Bangalore,100.0,7.0,800.0,MD
Dr. Sowmya M,Dermatologist,MBBS,15.0,Sarjapur Road,Bangalore,95.0,49.0,700.0,MD
Dr. Shruthi M K,Dermatologist,MBBS,13.0,Jayanagar 5 Block,Bangalore,98.0,59.0,600.0,DDVL
Dr. Anusha Akilesh,Dermatologist,DDVL,8.0,HRBR Layout,Bangalore,96.0,40.0,600.0,MBBS
Dr. Manoj Srinivas,Dermatologist,MBBS,11.0,Indiranagar,Bangalore,96.0,22.0,600.0,MD
Dr. Jaya Sathvika Varre,Dermatologist,MBBS,9.0,HRBR Layout,Bangalore,93.0,42.0,600.0,MD
Dr. Sharanya Babu K,Dermatologist,MBBS,13.0,Basavanagudi,Bangalore,96.0,20.0,600.0,DDVL
Dr. Navya S,Dermatologist,MBBS,5.0,HSR Layout,Bangalore,0.0,0.0,500.0,MD
Dr. Samatha M Swamy,Dermatologist,MBBS,11.0,Bellandur,Bangalore,100.0,21.0,650.0,MD
Dr. Akshi Bansal,Dermatologist,MBBS,9.0,Whitefield,Bangalore,0.0,0.0,600.0,MD
Dr. Ambresh Badad,Dermatologist,MBBS,9.0,Sarjapur Road,Bangalore,97.0,20.0,300.0,MD
Dr. Bhavishya Shetty,Dermatologist,MBBS,4.0,HSR Layout,Bangalore,100.0,1.0,600.0,MD
Dr. Amrutha,Dermatologist,MD,13.0,Vijayanagar,Bangalore,70.0,15.0,1000.0,"Venereology & Leprosy, MBBS"
Dr. Sanjay S Desai,Dermatologist,MBBS,14.0,RT Nagar,Bangalore,94.0,60.0,500.0,MD
Dr. Neelima Ravipati,Dermatologist,MBBS,10.0,Ulsoor,Bangalore,97.0,121.0,600.0,MD
Dr. Kavya H Reganti,Dermatologist,MBBS,4.0,JP Nagar,Bangalore,100.0,7.0,600.0,MD
Dr. Prakruthi,Dermatologist,MBBS,14.0,HSR Layout,Bangalore,100.0,44.0,600.0,MD
Dr. Priya Vernekar,Dermatologist,MBBS,12.0,Whitefield,Bangalore,100.0,16.0,600.0,MD
Dr. Rashmika Reddy,Dermatologist,MBBS,7.0,Indiranagar,Bangalore,94.0,35.0,600.0,MD
Dr. Anoop Gopal D S,Dermatologist,MBBS,11.0,Koramangala 7 Block,Bangalore,91.0,42.0,600.0,MD
Dr. Ashalatha,Dermatologist,DDVL,14.0,Banashankari 3rd Stage,Bangalore,91.0,37.0,500.0,MBBS
Dr. Prerna Sikka,Dermatologist,MBBS,12.0,Indiranagar,Bangalore,0.0,0.0,800.0,DDVL
Dr. Midhuna PV,Dermatologist,MBBS,4.0,Whitefield,Bangalore,100.0,4.0,600.0,MD
Dr. Meghana Karlekar.R,Dermatologist,MBBS,8.0,Whitefield,Bangalore,100.0,4.0,600.0,DDVL
Dr. Premalatha,Dermatologist,MBBS,12.0,HRBR Layout,Bangalore,86.0,3.0,600.0,MD
Dr. Akshitha Ratnakara Shetty,Dermatologist,MBBS,13.0,Indiranagar,Bangalore,89.0,8.0,600.0,MD
Dr. Shwetha H P,Dermatologist,MBBS,10.0,Sarjapur Road,Bangalore,95.0,18.0,600.0,DVD
Dr. Raji Babu. G,Dermatologist,DDVL,7.0,Mahalakshmi Layout,Bangalore,100.0,6.0,600.0,MBBS
Dr. Nikhita Shetty,Dermatologist,MBBS,9.0,Koramangala 7 Block,Bangalore,100.0,10.0,600.0,MD
Dr. Rashmi Ravindra,Dermatologist,MBBS,15.0,Bannerghatta Road,Bangalore,67.0,4.0,850.0,MD
Dr. Vandhana Manoharan,Dermatologist,MD,1.0,HRBR Layout,Bangalore,0.0,0.0,600.0,"Venereology & Leprosy, MBBS"
Dr. Mariet Zacharias,Dermatologist,MBBS,6.0,Jayanagar 5 Block,Bangalore,100.0,7.0,600.0,MD
Dr. Sindhu.P.S,Dermatologist,MBBS,12.0,Bellandur,Bangalore,60.0,2.0,600.0,Others
Dr. Sheetal Srinivas,Dermatologist,MBBS,7.0,Sadashivanagar,Bangalore,100.0,6.0,600.0,MD
Dr. Sindhujaa Sreekanth S,Dermatologist,MBBS,3.0,Koramangala 7 Block,Bangalore,88.0,8.0,600.0,MD
Dr. Vennela Reddy,Dermatologist,MBBS,4.0,Whitefield,Bangalore,89.0,7.0,600.0,MD
Dr. Mikki Singh,Dermatologist,MBBS,16.0,Indiranagar,Bangalore,67.0,3.0,1000.0,DDVL
Dr. Aryambika Krishnan,Dermatologist,MBBS,7.0,Yelahanka New Town,Bangalore,0.0,0.0,600.0,MD
Dr. Lavina Mittal,Dermatologist,MBBS,2.0,HSR Layout,Bangalore,90.0,9.0,600.0,MD
Dr. Varsha C B,Dermatologist,MBBS,4.0,Sarjapur Road,Bangalore,33.0,4.0,650.0,DVD
Dr. Sanjay Thejaswi,Dermatologist,MBBS,7.0,Singasandra,Bangalore,82.0,11.0,500.0,MD
Dr. Abhiram Rayapati,Dermatologist,MD,11.0,Kumaraswamy Layout,Bangalore,100.0,0.0,600.0,"Venereology & Leprosy, MBBS"
Dr. Priyanka K,Dermatologist,MBBS,6.0,Mahadevapura,Bangalore,100.0,8.0,700.0,DNB
Dr. Shantini Vijayasuriar,Dermatologist,DDVL,6.0,Millers Road,Bangalore,50.0,1.0,1000.0,MBBS
Dr. Bantwal Priya Baliga,Dermatologist,MBBS,7.0,HSR Layout,Bangalore,0.0,0.0,500.0,MD
